"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"332","0.7395104765892029","0.7395104765892029","0.7395104765892029","664","664","664"
"333","0.6944929957389832","0.6944929957389832","0.6944929957389832","666","666","666"
"334","0.7381992936134338","0.7381992936134338","0.7381992936134338","668","668","668"
"335","0.748251736164093","0.748251736164093","0.748251736164093","670","670","670"
"336","0.7277097702026367","0.7277097702026367","0.7277097702026367","672","672","672"
"337","0.7447552680969238","0.7447552680969238","0.7447552680969238","674","674","674"
"338","0.7491258978843689","0.7491258978843689","0.7491258978843689","676","676","676"
"339","0.7390734553337097","0.7390734553337097","0.7390734553337097","678","678","678"
"340","0.7303321957588196","0.7303321957588196","0.7303321957588196","680","680","680"
"341","0.7172203063964844","0.7172203063964844","0.7172203063964844","682","682","682"
"342","0.742132842540741","0.742132842540741","0.742132842540741","684","684","684"
"343","0.7154720425605774","0.7154720425605774","0.7154720425605774","686","686","686"
"344","0.6612762212753296","0.6612762212753296","0.6612762212753296","688","688","688"
"345","0.7368881106376648","0.7368881106376648","0.7368881106376648","690","690","690"
"346","0.7272727489471436","0.7272727489471436","0.7272727489471436","692","692","692"
"347","0.7408216595649719","0.7408216595649719","0.7408216595649719","694","694","694"
"348","0.7395104765892029","0.7395104765892029","0.7395104765892029","696","696","696"
"349","0.7491258978843689","0.7491258978843689","0.7491258978843689","698","698","698"
"350","0.7460664510726929","0.7460664510726929","0.7460664510726929","700","700","700"
"351","0.7491258978843689","0.7491258978843689","0.7491258978843689","702","702","702"
"352","0.6770104765892029","0.6770104765892029","0.6770104765892029","704","704","704"
"353","0.7460664510726929","0.7460664510726929","0.7460664510726929","706","706","706"
"354","0.754807710647583","0.754807710647583","0.754807710647583","708","708","708"
"355","0.7569929957389832","0.7569929957389832","0.7569929957389832","710","710","710"
